iter	RMSE
0	0.5170700318
1	0.5047440015
2	0.4929319042
3	0.4815575131
4	0.4709675475
5	0.4603764742
6	0.4501476493
7	0.4405713571
8	0.4311919362
9	0.4224690624
10	0.4137608577
11	0.4056148847
12	0.3980734995
13	0.3902684803
14	0.3829432422
15	0.3760908529
16	0.369893832
17	0.3635687424
18	0.3572961973
19	0.3513390665
20	0.3456035732
21	0.3402960418
22	0.3351814748
23	0.330434359
24	0.3256460863
25	0.3211520999
26	0.316790868
27	0.3127492318
28	0.3087599039
29	0.3049817941
30	0.3015077568
31	0.2980748639
32	0.2949103773
33	0.2918311686
34	0.2889207178
35	0.2861502685
36	0.2833387898
37	0.2808460989
38	0.2783149214
39	0.2758979871
40	0.2735708957
41	0.2713238527
42	0.2692790366
43	0.2672674654
44	0.2653632702
45	0.2636020895
46	0.2618392067
47	0.2602084391
48	0.2585840994
49	0.2569859899
50	0.2555181926
51	0.2542119666
52	0.252833897
53	0.2516398539
54	0.2503507734
55	0.249187662
56	0.2480717386
57	0.2468780686
58	0.2459011191
59	0.2450032502
60	0.2441100339
61	0.2432653898
62	0.2423552495
63	0.2414805031
64	0.240710933
65	0.2399392313
66	0.2392255839
67	0.2385455711
68	0.2377505952
69	0.2371674246
70	0.2365205358
71	0.2356535383
72	0.2348861266
73	0.2343240263
74	0.2336935649
75	0.2331481653
76	0.2324062827
77	0.2317230382
78	0.2311433321
79	0.2306283938
80	0.23011015
81	0.2296634384
82	0.2292702892
83	0.2287494152
84	0.2283014703
85	0.2276545744
86	0.2272510862
87	0.2267749145
88	0.2261820505
89	0.2258698064
90	0.2254618314
91	0.225090211
92	0.2247904182
93	0.2244205561
94	0.2240489091
95	0.2236906022
96	0.2231916804
97	0.2227594774
98	0.22236275
99	0.2219568897
100	0.2215003305
101	0.2210282281
102	0.2206918479
103	0.220266484
104	0.2199376348
105	0.2195969392
106	0.2193571853
107	0.2190408532
108	0.2187009631
109	0.218375124
110	0.2181242539
111	0.217859132
112	0.2175189677
113	0.2172088468
114	0.2169370413
115	0.2167504785
116	0.2165823051
117	0.216414097
118	0.216144138
119	0.2157036778
120	0.2155485334
121	0.2152427103
122	0.2150646431
123	0.2148681595
124	0.2146251566
125	0.2144421886
126	0.2142061693
127	0.2140156435
128	0.2138477081
129	0.2136228612
130	0.213430971
131	0.2132131968
132	0.2130698756
133	0.2129394984
134	0.2128164195
135	0.212679165
136	0.212522643
137	0.21230336
138	0.2121232815
139	0.2118865307
140	0.2117567748
141	0.2115577293
142	0.2112680473
143	0.2109988643
144	0.210825462
145	0.2107297821
146	0.2105746247
147	0.2103386398
148	0.2101555275
149	0.2099211574
150	0.2096866843
151	0.2095491843
152	0.2094259769
153	0.2092446033
154	0.2091414821
155	0.2089793355
156	0.2087756665
157	0.2085140527
158	0.2083804994
159	0.2082759732
160	0.2081385411
161	0.2080369367
162	0.2079030963
163	0.2077661493
164	0.2076461955
165	0.2074866896
166	0.2073314006
167	0.2071680812
168	0.206855453
169	0.2066534204
170	0.2065187474
171	0.2063866366
172	0.2061715981
173	0.2060670021
174	0.2059909054
175	0.2058560007
176	0.2057351803
177	0.2056297054
178	0.2054972512
179	0.2053697562
180	0.205233875
181	0.2051003707
182	0.204972058
183	0.2048360699
184	0.2046949588
185	0.2045920544
186	0.2044248617
187	0.2042814018
188	0.2041472982
189	0.2039557558
190	0.2038299269
191	0.2037172375
192	0.2036107897
193	0.2035158757
194	0.2034009989
195	0.203254936
196	0.2030601453
197	0.2028922391
198	0.2027577732
199	0.2026729831
200	0.2025767237
201	0.2025042864
202	0.2023528059
203	0.2022190654
204	0.2021153212
205	0.2020467708
206	0.2019377233
207	0.201813668
208	0.2017142837
209	0.2015170786
210	0.2014236215
211	0.2011422018
212	0.2010492504
213	0.2009221143
214	0.2007857287
215	0.2006800452
216	0.2005045062
217	0.2003717219
218	0.2002120766
219	0.2001174192
220	0.2000197673
221	0.1998793367
222	0.1997334164
223	0.1995854283
224	0.1994529783
225	0.1993786884
226	0.1992442603
227	0.1991226143
228	0.1990199577
229	0.1988734682
230	0.1987334969
231	0.1986217453
232	0.198449998
233	0.1983663474
234	0.1982474375
235	0.198075314
236	0.1980094297
237	0.1978960907
238	0.1977459093
239	0.1976265117
240	0.1974604435
241	0.1973836093
242	0.1972782761
243	0.197152926
244	0.1970729353
245	0.1969669202
246	0.1968815098
247	0.1968161528
248	0.1967437081
249	0.1966717722
250	0.1966067357
251	0.1965179575
252	0.1964115421
253	0.1962877151
254	0.1962305728
255	0.1961365851
256	0.1960039956
257	0.195853071
258	0.1957636712
259	0.1956318773
260	0.195466926
261	0.1953491749
262	0.1952579956
263	0.1951590045
264	0.1949678321
265	0.1948787066
266	0.1948021031
267	0.1946546196
268	0.1945774221
269	0.194442539
270	0.1943337253
271	0.1942620428
272	0.1941400642
273	0.1940391378
274	0.1939591647
275	0.1938480981
276	0.1937512603
277	0.193664758
278	0.1935705304
279	0.1934168542
280	0.1933261638
281	0.1931921027
282	0.1931130979
283	0.1930203959
284	0.1929113554
285	0.1928306376
286	0.1927018599
287	0.1926068342
288	0.192538075
289	0.1924309984
290	0.1923516662
291	0.1922278679
292	0.1921273458
293	0.1920617204
294	0.1919727153
295	0.1918922637
296	0.1918280072
297	0.1917487955
298	0.1916787461
299	0.1915968171
300	0.1915085684
301	0.1914180371
302	0.191343633
303	0.1912691265
304	0.1911835357
305	0.191091557
306	0.1909164644
307	0.1908078915
308	0.1906979691
309	0.190595868
310	0.1905032016
311	0.1904616122
312	0.1903535378
313	0.1902707795
314	0.1901918176
315	0.1900785351
316	0.1900068879
317	0.1899277292
318	0.1898242089
319	0.1897298104
320	0.1896447172
321	0.1895626355
322	0.1894577602
323	0.1893597686
324	0.1893027325
325	0.1892149332
326	0.1890784163
327	0.1889903089
328	0.1889010302
329	0.1888124567
330	0.1887263593
331	0.1886503816
332	0.1885569925
333	0.1884926795
334	0.1884158764
335	0.1883106592
