iter	Passed	Remaining
0	152	382310
1	160	200900
2	168	140216
3	176	110196
4	184	92005
5	191	79658
6	198	70824
7	206	64201
8	213	59136
9	220	54994
10	228	51594
11	235	48909
12	243	46537
13	250	44563
14	258	42785
15	265	41227
16	270	39438
17	277	38220
18	284	37117
19	291	36151
20	298	35242
21	305	34463
22	313	33749
23	320	33069
24	328	32490
25	335	31946
26	343	31449
27	350	30946
28	357	30489
29	365	30058
30	372	29639
31	379	29239
32	386	28904
33	394	28608
34	403	28383
35	411	28157
36	419	27944
37	428	27739
38	436	27519
39	444	27314
40	452	27117
41	460	26936
42	469	26816
43	477	26640
44	485	26459
45	492	26268
46	500	26141
47	509	26037
48	517	25869
49	524	25714
50	533	25607
51	541	25490
52	549	25387
53	558	25313
54	566	25195
55	575	25096
56	582	24984
57	591	24901
58	599	24799
59	607	24719
60	616	24632
61	624	24560
62	633	24486
63	641	24425
64	650	24363
65	658	24297
66	668	24267
67	677	24212
68	685	24144
69	693	24076
70	702	24024
71	710	23975
72	719	23934
73	728	23872
74	736	23805
75	744	23755
76	752	23693
77	761	23638
78	769	23576
79	778	23541
80	786	23475
81	794	23417
82	803	23394
83	812	23357
84	820	23305
85	828	23267
86	837	23216
87	844	23160
88	853	23120
89	861	23075
90	870	23031
91	877	22975
92	885	22918
93	893	22862
94	901	22830
95	909	22781
96	918	22751
97	928	22751
98	936	22716
99	944	22667
100	952	22630
101	961	22595
102	970	22578
103	979	22557
104	987	22519
105	995	22486
106	1004	22460
107	1013	22436
108	1021	22414
109	1030	22383
110	1038	22347
111	1047	22326
112	1056	22326
113	1065	22295
114	1073	22273
115	1083	22260
116	1091	22225
117	1099	22189
118	1107	22162
119	1116	22138
120	1135	22316
121	1143	22282
122	1151	22250
123	1160	22235
124	1170	22232
125	1180	22233
126	1190	22248
127	1200	22245
128	1210	22245
129	1221	22262
130	1230	22255
131	1239	22232
132	1250	22259
133	1260	22252
134	1269	22235
135	1277	22208
136	1285	22170
137	1293	22137
138	1302	22127
139	1311	22114
140	1322	22117
141	1330	22094
142	1338	22064
143	1346	22026
144	1354	22000
145	1362	21968
146	1370	21937
147	1378	21906
148	1386	21877
149	1394	21843
150	1402	21819
151	1410	21792
152	1418	21765
153	1427	21741
154	1435	21719
155	1443	21692
156	1452	21669
157	1459	21640
158	1468	21617
159	1476	21596
160	1484	21570
161	1493	21555
162	1502	21540
163	1511	21524
164	1519	21507
165	1528	21494
166	1537	21475
167	1545	21453
168	1555	21461
169	1565	21454
170	1573	21435
171	1582	21417
172	1590	21400
173	1599	21387
174	1608	21366
175	1617	21359
176	1626	21343
177	1634	21323
178	1643	21309
179	1652	21294
180	1660	21276
181	1668	21256
182	1677	21235
183	1685	21215
184	1693	21196
185	1702	21177
186	1711	21169
187	1720	21163
188	1730	21156
189	1738	21141
190	1747	21121
191	1756	21111
192	1764	21092
193	1773	21077
194	1781	21052
195	1789	21032
196	1797	21019
197	1807	21010
198	1815	20997
199	1824	20978
200	1832	20957
201	1841	20950
202	1850	20941
203	1859	20925
204	1867	20903
205	1876	20891
206	1884	20872
207	1892	20849
208	1900	20827
209	1908	20813
210	1916	20792
211	1925	20779
212	1933	20757
213	1941	20736
214	1948	20712
215	1956	20692
216	1964	20670
217	1972	20650
218	1981	20634
219	1990	20628
220	1998	20608
221	2007	20596
222	2015	20577
223	2024	20569
224	2040	20629
225	2048	20611
226	2057	20602
227	2065	20581
228	2073	20560
229	2081	20540
230	2089	20522
231	2097	20503
232	2106	20495
233	2114	20476
234	2122	20456
235	2130	20441
236	2138	20422
237	2147	20411
238	2156	20398
239	2164	20381
240	2172	20362
241	2180	20343
242	2188	20325
243	2196	20307
244	2205	20296
245	2213	20281
246	2221	20262
247	2229	20242
248	2236	20218
249	2243	20193
250	2250	20168
251	2258	20145
252	2265	20124
253	2274	20111
254	2281	20089
255	2288	20063
256	2296	20040
257	2304	20024
258	2312	20008
259	2320	19992
260	2328	19977
261	2336	19957
262	2344	19940
263	2352	19924
264	2360	19912
265	2369	19898
266	2376	19879
267	2384	19860
268	2392	19843
269	2400	19827
270	2408	19809
271	2415	19789
272	2423	19770
273	2431	19754
274	2439	19738
275	2447	19721
276	2455	19707
277	2463	19688
278	2470	19667
279	2477	19646
280	2485	19624
281	2492	19603
282	2499	19581
283	2507	19563
284	2514	19541
285	2521	19518
286	2528	19499
287	2536	19477
288	2543	19457
289	2550	19436
290	2557	19416
291	2565	19397
292	2572	19376
293	2579	19358
294	2587	19340
295	2595	19323
296	2602	19304
297	2610	19287
298	2617	19268
299	2625	19251
300	2632	19232
301	2639	19214
302	2647	19193
303	2654	19173
304	2661	19154
305	2668	19134
306	2676	19117
307	2683	19097
308	2690	19078
309	2697	19058
310	2705	19042
311	2712	19020
312	2719	19003
313	2726	18982
314	2734	18964
315	2741	18946
316	2748	18928
317	2755	18908
318	2763	18891
319	2770	18873
320	2777	18854
321	2784	18836
322	2792	18820
323	2799	18803
324	2807	18785
325	2814	18766
326	2821	18748
327	2828	18730
328	2835	18712
329	2843	18696
330	2850	18681
331	2858	18663
332	2865	18646
333	2872	18630
334	2879	18611
335	2886	18593
336	2894	18575
337	2901	18560
338	2908	18543
339	2916	18527
340	2923	18512
341	2930	18493
342	2938	18476
343	2945	18459
344	2952	18443
345	2959	18425
346	2967	18409
347	2974	18392
348	2982	18379
349	2989	18362
350	2996	18346
351	3003	18328
352	3010	18313
353	3018	18296
354	3025	18282
355	3033	18268
356	3040	18251
357	3047	18236
358	3055	18220
359	3062	18205
360	3069	18188
361	3077	18174
362	3084	18157
363	3091	18142
364	3099	18127
365	3106	18112
366	3113	18095
367	3120	18080
368	3128	18065
369	3136	18055
370	3143	18038
371	3150	18024
372	3157	18008
373	3165	17992
374	3172	17976
375	3180	17965
376	3188	17953
377	3196	17943
378	3203	17930
379	3211	17919
380	3220	17908
381	3228	17899
382	3236	17886
383	3244	17876
384	3252	17865
385	3260	17856
386	3269	17851
387	3278	17847
388	3287	17842
389	3296	17836
390	3305	17830
391	3314	17823
392	3323	17816
393	3332	17811
394	3341	17804
395	3349	17795
396	3358	17788
397	3366	17781
398	3375	17772
399	3384	17767
400	3393	17761
401	3401	17754
402	3410	17746
403	3419	17738
404	3427	17731
405	3436	17722
406	3444	17714
407	3452	17704
408	3461	17698
409	3470	17690
410	3478	17682
411	3486	17670
412	3494	17660
413	3503	17650
414	3511	17640
415	3519	17629
416	3527	17620
417	3535	17610
418	3543	17601
419	3552	17591
420	3560	17580
421	3568	17569
422	3576	17560
423	3584	17549
424	3592	17541
425	3600	17531
426	3608	17519
427	3617	17511
428	3625	17501
429	3633	17490
430	3641	17483
431	3649	17472
432	3658	17462
433	3666	17452
434	3674	17442
435	3682	17431
436	3690	17422
437	3698	17413
438	3707	17404
439	3715	17393
440	3723	17383
441	3731	17373
442	3739	17362
443	3747	17352
444	3755	17341
445	3763	17330
446	3770	17318
447	3778	17308
448	3786	17296
449	3794	17286
450	3802	17276
451	3811	17269
452	3834	17326
453	3848	17342
454	3858	17341
455	3870	17349
456	3879	17341
457	3888	17334
458	3897	17329
459	3905	17318
460	3912	17306
461	3920	17293
462	3928	17282
463	3936	17272
464	3944	17261
465	3952	17250
466	3960	17240
467	3968	17230
468	3976	17219
469	3984	17208
470	3991	17196
471	3999	17184
472	4007	17173
473	4016	17167
474	4025	17159
475	4032	17148
476	4040	17136
477	4053	17148
478	4066	17158
479	4075	17152
480	4086	17152
481	4093	17139
482	4100	17125
483	4108	17111
484	4115	17097
485	4122	17085
486	4129	17071
487	4137	17058
488	4144	17043
489	4151	17031
490	4159	17018
491	4166	17004
492	4173	16989
493	4180	16976
494	4188	16964
495	4195	16951
496	4202	16937
497	4209	16923
498	4216	16910
499	4224	16897
500	4231	16883
501	4238	16869
502	4246	16859
503	4254	16847
504	4261	16836
505	4268	16822
506	4276	16809
507	4283	16795
508	4290	16783
509	4297	16769
510	4305	16757
511	4312	16744
512	4320	16733
513	4327	16721
514	4335	16708
515	4342	16696
516	4349	16684
517	4356	16670
518	4364	16658
519	4371	16645
520	4378	16632
521	4386	16620
522	4393	16606
523	4400	16593
524	4407	16580
525	4415	16569
526	4422	16556
527	4429	16543
528	4436	16531
529	4444	16518
530	4451	16506
531	4458	16494
532	4466	16481
533	4473	16469
534	4480	16456
535	4487	16444
536	4495	16431
537	4502	16418
538	4509	16406
539	4516	16394
540	4524	16383
541	4531	16371
542	4539	16359
543	4546	16346
544	4553	16334
545	4561	16322
546	4568	16311
547	4575	16299
548	4583	16287
549	4590	16275
550	4597	16263
551	4604	16250
552	4611	16237
553	4619	16225
554	4626	16213
555	4633	16201
556	4640	16188
557	4648	16176
558	4655	16164
559	4662	16153
560	4670	16141
561	4677	16130
562	4684	16117
563	4691	16105
564	4699	16093
565	4706	16082
566	4713	16069
567	4721	16058
568	4728	16047
569	4735	16035
570	4743	16023
571	4750	16011
572	4757	15999
573	4764	15987
574	4772	15976
575	4779	15964
576	4786	15952
577	4793	15940
578	4801	15929
579	4808	15917
580	4815	15906
581	4823	15894
582	4830	15882
583	4837	15870
584	4844	15859
585	4852	15848
586	4859	15838
587	4867	15827
588	4874	15816
589	4882	15806
590	4889	15795
591	4897	15783
592	4904	15772
593	4911	15760
594	4918	15748
595	4925	15736
596	4933	15724
597	4940	15713
598	4947	15701
599	4954	15690
600	4962	15678
601	4969	15666
602	4976	15655
603	4983	15645
604	4991	15634
605	4998	15622
606	5005	15611
607	5013	15600
608	5020	15589
609	5027	15577
610	5034	15565
611	5041	15553
612	5049	15545
613	5057	15535
614	5065	15525
615	5072	15514
616	5079	15502
617	5086	15491
618	5094	15480
619	5101	15468
620	5108	15457
621	5115	15446
622	5123	15435
623	5130	15424
624	5137	15412
625	5144	15400
626	5151	15390
627	5159	15378
628	5166	15366
629	5173	15355
630	5180	15344
631	5187	15333
632	5195	15323
633	5202	15312
634	5209	15301
635	5216	15289
636	5223	15278
637	5230	15266
638	5238	15256
639	5245	15244
640	5252	15233
641	5259	15221
642	5267	15211
643	5274	15199
644	5281	15189
645	5288	15177
646	5295	15166
647	5302	15155
648	5309	15143
649	5317	15133
650	5324	15123
651	5332	15113
652	5339	15103
653	5347	15092
654	5354	15081
655	5361	15071
656	5368	15060
657	5376	15050
658	5383	15039
659	5390	15029
660	5398	15018
661	5405	15008
662	5413	14999
663	5420	14988
664	5427	14977
665	5435	14966
666	5442	14956
667	5449	14945
668	5456	14934
669	5463	14923
670	5471	14913
671	5478	14903
672	5485	14892
673	5493	14881
674	5500	14871
675	5507	14861
676	5515	14850
677	5522	14841
678	5530	14831
679	5537	14820
680	5544	14809
681	5551	14798
682	5558	14787
683	5565	14776
684	5572	14766
685	5580	14756
686	5587	14745
687	5595	14735
688	5602	14725
689	5609	14715
690	5617	14705
691	5624	14694
692	5631	14683
693	5639	14674
694	5646	14663
695	5653	14653
696	5660	14643
697	5668	14633
698	5675	14622
699	5682	14611
700	5689	14601
701	5696	14591
702	5703	14579
703	5710	14569
704	5718	14559
705	5725	14549
706	5733	14539
707	5740	14530
708	5748	14520
709	5755	14510
710	5762	14499
711	5769	14489
712	5777	14479
713	5784	14468
714	5791	14458
715	5798	14447
716	5805	14437
717	5812	14427
718	5820	14416
719	5827	14406
720	5834	14396
721	5841	14385
722	5848	14375
723	5856	14365
724	5863	14355
725	5871	14347
726	5878	14337
727	5886	14328
728	5893	14318
729	5901	14309
730	5908	14299
731	5916	14289
732	5923	14279
733	5930	14269
734	5937	14258
735	5944	14248
736	5952	14238
737	5959	14228
738	5967	14219
739	5974	14208
740	5981	14199
741	5988	14189
742	5996	14179
743	6003	14168
744	6010	14158
745	6018	14150
746	6025	14140
747	6033	14131
748	6040	14122
749	6047	14111
750	6055	14101
751	6062	14092
752	6069	14082
753	6078	14074
754	6085	14065
755	6092	14055
756	6099	14045
757	6107	14037
758	6114	14026
759	6122	14017
760	6129	14007
761	6136	13997
762	6144	13987
763	6151	13978
764	6159	13968
765	6166	13959
766	6173	13949
767	6181	13939
768	6188	13930
769	6195	13920
770	6202	13910
771	6209	13899
772	6217	13890
773	6224	13880
774	6232	13871
775	6239	13861
776	6246	13851
777	6253	13841
778	6260	13831
779	6267	13821
780	6275	13811
781	6282	13802
782	6289	13791
783	6296	13782
784	6304	13772
785	6311	13763
786	6319	13754
787	6325	13743
788	6333	13733
789	6340	13724
790	6347	13714
791	6354	13704
792	6362	13695
793	6369	13686
794	6377	13677
795	6384	13667
796	6391	13658
797	6399	13648
798	6406	13639
799	6414	13630
800	6421	13620
801	6428	13610
802	6435	13601
803	6443	13591
804	6450	13581
805	6457	13572
806	6465	13562
807	6472	13553
808	6479	13543
809	6487	13535
810	6494	13525
811	6501	13516
812	6509	13506
813	6516	13497
814	6523	13487
815	6531	13478
816	6538	13469
817	6545	13459
818	6553	13450
819	6560	13440
820	6567	13431
821	6575	13423
822	6583	13415
823	6590	13405
824	6598	13396
825	6605	13387
826	6613	13378
827	6620	13368
828	6627	13359
829	6634	13349
830	6641	13339
831	6648	13329
832	6656	13320
833	6663	13310
834	6670	13301
835	6677	13291
836	6684	13282
837	6691	13271
838	6699	13262
839	6706	13253
840	6713	13244
841	6721	13234
842	6728	13225
843	6735	13215
844	6743	13206
845	6750	13198
846	6758	13190
847	6765	13180
848	6773	13171
849	6780	13161
850	6787	13152
851	6794	13143
852	6802	13133
853	6809	13124
854	6816	13115
855	6823	13105
856	6831	13096
857	6838	13087
858	6846	13079
859	6853	13070
860	6861	13061
861	6868	13052
862	6875	13042
863	6883	13034
864	6891	13026
865	6898	13017
866	6906	13007
867	6912	12997
868	6920	12988
869	6928	12980
870	6935	12972
871	6944	12965
872	6952	12958
873	6960	12949
874	6968	12940
875	6975	12931
876	6982	12922
877	6990	12913
878	6998	12905
879	7005	12897
880	7013	12888
881	7021	12880
882	7028	12870
883	7035	12861
884	7042	12851
885	7050	12843
886	7057	12833
887	7064	12824
888	7072	12816
889	7080	12808
890	7087	12799
891	7095	12790
892	7102	12780
893	7109	12771
894	7117	12763
895	7124	12754
896	7132	12745
897	7139	12736
898	7147	12728
899	7154	12718
900	7161	12709
901	7168	12700
902	7176	12691
903	7183	12682
904	7190	12673
905	7198	12664
906	7205	12655
907	7212	12646
908	7220	12637
909	7227	12627
910	7235	12619
911	7242	12610
912	7249	12601
913	7256	12592
914	7264	12583
915	7271	12574
916	7279	12565
917	7286	12556
918	7293	12547
919	7300	12538
920	7308	12529
921	7315	12520
922	7322	12510
923	7329	12502
924	7337	12493
925	7344	12484
926	7352	12475
927	7359	12467
928	7367	12458
929	7374	12449
930	7381	12440
931	7389	12431
932	7396	12422
933	7404	12414
934	7411	12405
935	7418	12395
936	7425	12386
937	7432	12377
938	7440	12369
939	7447	12359
940	7454	12350
941	7462	12341
942	7469	12333
943	7477	12324
944	7484	12316
945	7492	12307
946	7499	12298
947	7508	12291
948	7516	12285
949	7525	12278
950	7533	12270
951	7541	12263
952	7550	12256
953	7558	12249
954	7567	12242
955	7575	12235
956	7583	12227
957	7591	12219
958	7600	12212
959	7608	12206
960	7617	12199
961	7625	12191
962	7634	12184
963	7642	12176
964	7650	12169
965	7658	12162
966	7666	12154
967	7674	12146
968	7683	12139
